Date,Open*,High,Low,Close**,Volume,Market Cap
13-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$823,217,251 ","$3,386,661,064 "
12-Oct-20,$0.11 ,$0.11 ,$0.10 ,$0.11 ,"$821,299,647 ","$3,423,443,432 "
11-Oct-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$797,480,086 ","$3,314,647,791 "
10-Oct-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$923,715,999 ","$3,267,585,277 "
09-Oct-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$762,383,014 ","$3,171,149,840 "
08-Oct-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$690,490,593 ","$2,991,528,632 "
07-Oct-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$613,251,111 ","$2,918,360,588 "
06-Oct-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$997,995,413 ","$2,887,475,830 "
05-Oct-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$625,952,257 ","$3,034,839,679 "
04-Oct-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$697,459,534 ","$2,997,634,377 "
03-Oct-20,$0.09 ,$0.10 ,$0.09 ,$0.09 ,"$553,029,310 ","$2,906,296,014 "
02-Oct-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$828,579,008 ","$2,890,990,819 "
01-Oct-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$743,737,566 ","$3,044,828,931 "
30-Sep-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$615,414,657 ","$3,144,283,757 "
29-Sep-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$688,007,846 ","$3,147,982,046 "
28-Sep-20,$0.10 ,$0.11 ,$0.10 ,$0.10 ,"$825,058,842 ","$3,132,013,926 "
27-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$727,996,428 ","$3,151,289,579 "
26-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$649,321,135 ","$2,973,219,790 "
25-Sep-20,$0.08 ,$0.10 ,$0.08 ,$0.10 ,"$904,408,695 ","$3,013,095,546 "
24-Sep-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$596,569,914 ","$2,576,629,224 "
23-Sep-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$501,076,416 ","$2,388,284,816 "
22-Sep-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$316,907,647 ","$2,543,566,502 "
21-Sep-20,$0.09 ,$0.09 ,$0.08 ,$0.08 ,"$566,692,194 ","$2,502,302,450 "
20-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$682,896,131 ","$2,782,473,260 "
19-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$617,795,834 ","$2,851,669,375 "
18-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$699,241,251 ","$2,833,753,910 "
17-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$825,621,808 ","$2,931,310,016 "
16-Sep-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$822,410,832 ","$2,851,444,344 "
15-Sep-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$813,329,601 ","$2,908,901,262 "
